"","Date","Jurisdiction.x","Name","County","Year","Month.x","Residents.Confirmed","Staff.Confirmed","Residents.Deaths","Staff.Deaths","Residents.Population","Staff.Population","Latitude","Longitude","County.FIPS","Age","Gender","Capacity","BJS.ID","Week","Institution","Total_Population","Design_Capacity","Percent_Occupied","Staffed_Capacity","Month.y","Jurisdiction.y","Residents.Confirmed.F","Residents.Confirmed_DailyChange"
"1","2020-03-31","state","AVENAL STATE PRISON","Kings",2020,3,0,NA,NA,NA,4306,NA,35.97394934,-120.1231018,"06031","Adult","Male",2920,"050000000075100000000","2020-03-25","Avenal State Prison (ASP)",4306,2920,148,4387,3,"state",0,0
"2","2020-03-31","state","CENTRAL CALIFORNIA WOMENS FACILITY","Madera",2020,3,0,NA,NA,NA,2832,NA,37.09368073,-120.1527098,"06039","Adult","Female",2004,"050000000075700000000","2020-03-25","Central California Women's Facility (CCWF)",2832,2004,141,2988,3,"state",0,0
"3","2020-03-31","state","NORTH KERN STATE PRISON","Kern",2020,3,0,NA,NA,NA,3931,NA,35.78188512,-119.3098757,"06029","Adult","Male",2694,"050000000079990800000","2020-03-25","North Kern State Prison (NKSP)",3931,2694,146,4011,3,"state",0,0
"4","2020-03-31","state","CALIFORNIA INSTITUTION FOR MEN","San Bernardino",2020,3,1,11,NA,NA,3509,NA,33.98471223,-117.6823919,"06071","Adult","Male",2973,"050000000070500000000","2020-03-25","California Institution for Men (CIM)",3509,2976,118,4226,3,"state",1,1
"5","2020-03-31","state","CENTINELA STATE PRISON","Imperial",2020,3,0,NA,NA,NA,3378,NA,32.82339731,-115.7890555,"06025","Adult","Male",2308,"050000000079990700000","2020-03-25","Centinela State Prison (CEN)",3378,2308,146,3446,3,"state",0,0
"6","2020-03-31","state","SIERRA CONSERVATION CENTER","Tuolumne",2020,3,0,NA,NA,NA,4372,NA,37.89168856,-120.5365401,"06109","Adult","Male",3836,"050000000070800000000","2020-03-25","Sierra Conservation Center (SCC)",4372,3836,114,4570,3,"state",0,0
"7","2020-03-31","state","CALIFORNIA STATE PRISON CORCORAN","Kings",2020,3,0,1,NA,NA,2826,NA,36.06081823,-119.549121,"06031","Adult","Male",3116,"050000000075500000000","2020-03-25","California State Prison, Corcoran (COR)",2826,3116,91,4476,3,"state",0,0
"8","2020-03-31","state","CALIPATRIA STATE PRISON","Imperial",2020,3,0,NA,NA,NA,3048,NA,33.16569337,-115.484344,"06025","Adult","Male",2308,"050000000079990600000","2020-03-25","Calipatria State Prison (CAL)",3048,2308,132,3451,3,"state",0,0
"9","2020-03-31","state","WASCO STATE PRISON","Kern",2020,3,0,NA,NA,NA,4456,NA,35.59431189,-119.4083319,"06029","Adult","Male",2984,"050000000079990500000","2020-03-25","Wasco State Prison (WSP)",4456,2984,149,4447,3,"state",0,0
"10","2020-03-31","state","CALIFORNIA MEDICAL FACILITY","Solano",2020,3,0,NA,NA,NA,2472,NA,38.32851019,-121.9791645,"06095","Adult","Mixed",2361,"050000000071100000000","2020-03-25","CALIFORNIA MEDICAL FACILITY",2472,2361,104.701397712834,2861,3,"state",0,0
"11","2020-03-31","state","VALLEY STATE PRISON","Madera",2020,3,0,NA,NA,NA,3036,NA,37.10547736,-120.1554719,"06039","Adult","Male",1980,"050000000079991300000","2020-03-25","Valley State Prison (VSP)",3036,1980,153,2954,3,"state",0,0
"12","2020-03-31","state","DEUEL VOCATIONAL INSTITUTION","San Joaquin",2020,3,0,NA,NA,NA,1923,NA,37.74805759,-121.3306264,"06077","Adult","Male",1681,"050000000070900000000","2020-03-25","Deuel Vocational Institution (DVI)",1923,1681,114,2190,3,"state",0,0
"13","2020-03-31","state","CALIFORNIA INSTITUTION FOR WOMEN","San Bernardino",2020,3,0,NA,NA,NA,1635,NA,33.94974531,-117.636365,"06071","Adult","Female",1398,"050000000070600000000","2020-03-25","California Institution for Women (CIW)",1635,1398,117,1877,3,"state",0,0
"14","2020-03-31","state","CALIFORNIA CORRECTIONAL INSTITUTION","Kern",2020,3,0,NA,NA,NA,3681,NA,35.10991489,-118.5703307,"06029","Adult","Male",2783,"050000000071200000000","2020-03-25","California Correctional Institution (CCI)",3681,2783,132,4085,3,"state",0,0
"15","2020-03-31","state","RJ DONOVAN CORRECTIONAL FACILITY","San Diego",2020,3,0,NA,NA,NA,3871,NA,32.58456487,-116.9335763,"06073","Adult","Male",2992,NA,"2020-03-25","RJ Donovan Correctional Facility (RJD)",3871,2992,129,4038,3,"state",0,0
"16","2020-03-31","state","CALIFORNIA STATE PRISON LOS ANGELES","Los Angeles",2020,3,3,NA,NA,NA,3219,NA,34.69359649,-118.2276136,"06037","Adult","Male",2300,"050000000079990900000","2020-03-25","California State Prison, Los Angeles County (LAC)",3219,2300,140,3400,3,"state",3,3
"17","2020-03-31","state","SALINAS VALLEY STATE PRISON","Monterey",2020,3,0,1,NA,NA,2937,NA,36.47885699,-121.3743944,"06053","Adult","Male",2452,"050000000079991900000","2020-03-25","Salinas Valley State Prison (SVSP)",2937,2452,120,3509,3,"state",0,0
